what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1386968967488
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1386968967489
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1386968967490
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1386968967491
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1386968967492
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1386968967493
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1386968967494
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1386968967495
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1386968967497
os,sysinfo,,,"macosx",1386968967500
arch,sysinfo,,,"x86_64",1386968967500
ws,sysinfo,,,"cocoa",1386968967500
locale,sysinfo,,,"en_US",1386968967500
processors,sysinfo,,,"1",1386968967500
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1386968967500
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1386968967500
java.specification.name,sysinfo,,,"Java Platform API Specification",1386968967500
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386968967500
