what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386956211764
java.specification.version,sysinfo,,,"1.6",1386956211764
java.vendor,sysinfo,,,"Apple Inc.",1386956211764
java.version,sysinfo,,,"1.6.0_65",1386956211764
java.vm.info,sysinfo,,,"mixed mode",1386956211764
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1386956211764
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1386956211764
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386956211764
java.vm.specification.version,sysinfo,,,"1.0",1386956211764
java.vm.vendor,sysinfo,,,"Apple Inc.",1386956211764
java.vm.version,sysinfo,,,"20.65-b04-462",1386956211764
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1386956211786
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1386956211789
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1386956694737
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1386956694769
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1386956694808
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1386956694811
started,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1386956695535
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1386956696109
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1386956696646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386956711960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386956925116
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1386956926675
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1386956927469
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1386956927476
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1386956927510
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1386956927513
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1386956927674
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1386956931935
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1386956938250
executed,command,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.antShortcut.run",1386956942529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386956952745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386956964687
executed,command,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.antShortcut.run",1386956967879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386956970604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386961917368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386962033509
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386962289555
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1386962290443
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1386962290445
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1386962290447
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1386962290449
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1386962290451
